PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
09011,1149748,8.814953,0.488148,-0.351075,-0.298047,0.034535,0.003579,-0.556931,-0.181170,0.293317,135.702936,-85.532440,-129.996118
09012,1149848,8.758074,0.405100,-0.329756,-0.278530,0.022929,0.022295,-0.555917,-0.181636,0.292293,135.530674,-85.550219,-129.983649
09013,1149948,8.719518,0.395277,-0.289551,-0.260620,0.014740,0.041286,-0.558387,-0.185510,0.290589,135.510626,-85.572275,-130.113554
09014,1150048,8.709243,0.470970,-0.217134,-0.245222,0.003243,0.060235,-0.558337,-0.183895,0.288166,135.660571,-85.597215,-130.405104
09015,1150148,8.714760,0.597669,-0.134210,-0.228328,-0.001709,0.072297,-0.559815,-0.185317,0.287090,135.913383,-85.624863,-130.790116
09016,1150248,8.733620,0.740869,-0.126063,-0.204761,-0.001989,0.081008,-0.558307,-0.187784,0.285964,136.232651,-85.655710,-131.228246
09017,1150348,8.780039,0.814949,-0.115217,-0.176849,-0.012012,0.083551,-0.562811,-0.189256,0.286886,136.639585,-85.683188,-131.738268
09018,1150448,8.810833,0.853098,-0.157420,-0.151698,-0.023892,0.088619,-0.561761,-0.190124,0.283837,137.156805,-85.707365,-132.344457
09019,1150548,8.803352,0.914420,-0.155708,-0.131129,-0.038913,0.091646,-0.565251,-0.192061,0.283734,137.786694,-85.725913,-133.051837
09020,1150648,8.817950,0.943118,-0.079153,-0.113674,-0.049876,0.091739,-0.562740,-0.191056,0.282786,138.488678,-85.739200,-133.821515
09021,1150748,8.879966,0.983869,-0.012806,-0.088198,-0.044642,0.088880,-0.564236,-0.191530,0.282760,139.166564,-85.752973,-134.552428
09022,1150848,8.949188,1.009951,0.056745,-0.053210,-0.032910,0.089488,-0.565705,-0.192929,0.281184,139.813889,-85.771454,-135.232629
09023,1150948,9.066815,1.041333,0.113570,-0.022403,-0.017984,0.087334,-0.567692,-0.189908,0.281336,140.397530,-85.795162,-135.831311
09024,1151048,9.122508,0.997199,0.144186,-0.000576,-0.006014,0.087131,-0.566183,-0.192375,0.280209,140.939853,-85.823668,-136.376053
09025,1151148,9.177574,0.989818,0.181885,0.017043,-0.001771,0.087762,-0.567652,-0.193774,0.278633,141.482585,-85.853917,-136.911115
09026,1151248,9.272818,0.954110,0.216422,0.043493,0.008423,0.087524,-0.569190,-0.191878,0.281234,141.996763,-85.888309,-137.402377
09027,1151348,9.388211,0.936889,0.255743,0.069059,0.009271,0.090523,-0.570162,-0.188824,0.280386,142.548892,-85.923807,-137.917024
09028,1151448,9.554558,0.937839,0.267234,0.101121,0.023981,0.096488,-0.569677,-0.190849,0.280784,143.095607,-85.967735,-138.407846
09029,1151548,9.609933,1.027759,0.327776,0.118958,0.039760,0.099516,-0.570653,-0.189789,0.279835,143.606802,-86.019630,-138.852840
09030,1151648,9.680853,0.958613,0.427880,0.104920,0.047162,0.107254,-0.572147,-0.189765,0.279835,144.138379,-86.077284,-139.326344
09031,1151748,9.714143,0.908376,0.591758,0.101414,0.076592,0.115850,-0.573110,-0.186687,0.278487,144.597376,-86.151233,-139.729117
09032,1151848,9.713311,0.900699,0.646425,0.088342,0.116853,0.126701,-0.574161,-0.186318,0.281512,144.941601,-86.247425,-140.024370
09033,1151948,9.621397,0.888964,0.593800,0.077791,0.135972,0.142623,-0.575113,-0.187178,0.278961,145.316025,-86.357701,-140.355951
09034,1152048,9.579262,0.879461,0.586948,0.086436,0.144060,0.152099,-0.576588,-0.181650,0.278740,145.747667,-86.474724,-140.739899
09035,1152148,9.547487,0.885660,0.585535,0.100954,0.162802,0.164336,-0.577045,-0.184511,0.276089,146.212951,-86.604383,-141.149210
09036,1152248,9.460826,0.866480,0.488720,0.113371,0.163245,0.178397,-0.578563,-0.182567,0.277689,146.835614,-86.738462,-141.709029
09037,1152348,9.432253,0.799176,0.501014,0.117847,0.152021,0.186252,-0.579529,-0.180984,0.276266,147.643825,-86.869158,-142.452082
09038,1152448,9.346542,0.724352,0.552717,0.122689,0.137841,0.192516,-0.583011,-0.177939,0.276417,148.661144,-86.994176,-143.401709
09039,1152548,9.230809,0.647606,0.555001,0.120711,0.117379,0.195483,-0.584477,-0.177843,0.274917,149.908142,-87.108963,-144.582379
09040,1152648,9.181947,0.605502,0.616436,0.109364,0.100730,0.200716,-0.585940,-0.175754,0.273519,151.396419,-87.215431,-146.011046
09041,1152748,9.144499,0.632469,0.689515,0.103826,0.097247,0.204169,-0.588466,-0.174815,0.275568,153.053016,-87.319085,-147.611303
09042,1152848,9.250693,0.673984,0.747769,0.089685,0.100902,0.213448,-0.586936,-0.175240,0.273544,154.917594,-87.424571,-149.427769
09043,1152948,9.436553,0.748723,0.849018,0.053801,0.114788,0.232224,-0.589913,-0.174172,0.273094,157.073358,-87.538733,-151.556169
09044,1153048,9.645806,0.768583,0.976614,0.009756,0.132854,0.253245,-0.591378,-0.173080,0.271645,159.594669,-87.663072,-154.075548
09045,1153148,9.862793,0.747053,1.138896,-0.022714,0.157691,0.271322,-0.592385,-0.168628,0.272873,162.518373,-87.799115,-157.016064
09046,1153248,10.134626,0.772060,1.301887,-0.032746,0.193722,0.281390,-0.595811,-0.170895,0.269246,165.827023,-87.950103,-160.347305
09047,1153348,10.449305,0.716713,1.346132,-0.026355,0.228887,0.284284,-0.595777,-0.167336,0.267925,169.591361,-88.113267,-164.130554
09048,1153448,10.842353,0.595665,1.323022,0.005337,0.268367,0.288471,-0.596293,-0.167376,0.268924,174.066462,-88.289475,-168.606413
