PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
07087,885528,9.574298,-0.408999,1.916157,-0.001805,-0.150380,-0.055934,-0.109876,-0.054967,-0.292482,-5.198973,-86.785593,7.234776
07088,885628,9.645291,-0.416761,1.999905,0.000133,-0.146676,-0.072782,-0.114344,-0.057339,-0.293610,-4.566173,-86.872845,6.600357
07089,885728,9.736127,-0.356677,2.033111,0.011986,-0.129583,-0.084860,-0.117307,-0.052760,-0.294382,-3.748232,-86.950354,5.787368
07090,885828,9.670102,-0.315718,2.050434,0.009015,-0.114119,-0.098099,-0.117291,-0.054704,-0.295483,-2.735715,-87.018710,4.777877
07091,885928,9.596416,-0.333550,2.004466,-0.007797,-0.106622,-0.105555,-0.118737,-0.053066,-0.297906,-1.599721,-87.081902,3.635149
07092,886028,9.426936,-0.342272,2.101952,-0.022396,-0.101116,-0.109747,-0.120740,-0.054054,-0.297457,-0.373837,-87.140727,2.394094
07093,886128,9.343767,-0.316671,2.048537,-0.030093,-0.102378,-0.110773,-0.119131,-0.051796,-0.303353,0.910879,-87.198861,1.089774
07094,886228,9.324825,-0.320105,2.105865,-0.040434,-0.101199,-0.110561,-0.118647,-0.049860,-0.302252,2.240493,-87.254811,-0.265375
07095,886328,9.324425,-0.260346,2.084378,-0.037194,-0.094638,-0.109734,-0.116052,-0.048139,-0.307673,3.611741,-87.305441,-1.660293
07096,886428,9.302927,-0.255559,1.989748,-0.032285,-0.090309,-0.111517,-0.113972,-0.045961,-0.312069,5.055010,-87.351854,-3.124446
07097,886528,9.297127,-0.289901,1.995426,-0.020017,-0.098876,-0.115307,-0.108951,-0.044449,-0.313990,6.615889,-87.401099,-4.699251
07098,886628,9.275640,-0.381319,2.143281,-0.009064,-0.110176,-0.120119,-0.113344,-0.040674,-0.318312,8.324338,-87.454303,-6.415445
07099,886728,9.278069,-0.469734,2.225554,-0.003304,-0.119855,-0.124632,-0.110301,-0.036117,-0.320581,10.188100,-87.510109,-8.283751
07100,886828,9.246553,-0.540400,2.241800,-0.007797,-0.129692,-0.126825,-0.108230,-0.033963,-0.324477,12.189015,-87.568375,-10.291862
07101,886928,9.256214,-0.540298,2.243074,-0.015652,-0.123591,-0.122692,-0.110159,-0.029303,-0.327248,14.204604,-87.620692,-12.319113
07102,887028,9.203067,-0.518315,2.194090,-0.024670,-0.107132,-0.118743,-0.104643,-0.029792,-0.329271,16.184544,-87.661474,-14.315819
07103,887128,9.068401,-0.488675,2.111503,-0.032029,-0.091020,-0.113289,-0.104598,-0.025211,-0.331042,18.082416,-87.691524,-16.234588
07104,887228,8.941893,-0.495872,2.035765,-0.038629,-0.085755,-0.110191,-0.102487,-0.026424,-0.337615,19.956292,-87.716702,-18.133121
07105,887328,8.916634,-0.495214,2.080950,-0.042889,-0.096208,-0.109475,-0.102979,-0.017473,-0.336658,21.914074,-87.745041,-20.118064
07106,887428,8.950055,-0.543524,2.204773,-0.042040,-0.124585,-0.111714,-0.100384,-0.021707,-0.342884,24.120233,-87.784949,-22.351074
07107,887528,9.083221,-0.600945,2.351190,-0.037147,-0.143721,-0.115579,-0.101359,-0.020148,-0.343807,26.587391,-87.830212,-24.842443
