time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
473838,-0.144407,0.180221,-0.188318,1.113296429,-0.054968367,0.179958265,-0.51623,-0.188032,0.246416,1016.545044
473938,-0.108999,0.149019,-0.155192,1.132741939,-0.088045612,0.134384388,-0.517194,-0.190411,0.244289,1016.545044
474038,-0.039776,0.119028,-0.119521,1.156623469,-0.087227857,0.097274184,-0.51375,-0.194051,0.246112,1016.545044
474138,0.032182,0.093437,-0.091254,1.184024694,-0.084912959,0.067443265,-0.514208,-0.19741,0.243435,1016.545044
474238,0.076743,0.071934,-0.074587,1.228244898,-0.087647857,0.05445,-0.507257,-0.205018,0.243556,1016.545044
474338,0.08328,0.089367,-0.065719,1.280717143,-0.090606837,0.053442959,-0.513263,-0.205494,0.245028,1016.545044
474438,0.057536,0.111238,-0.063381,1.32093102,-0.069441429,0.060540612,-0.513713,-0.209825,0.2418,1016.545044
474538,0.028962,0.13617,-0.068252,1.350778571,-0.040238265,0.066646939,-0.513244,-0.210404,0.243274,1016.545044
474638,-0.002609,0.162744,-0.076413,1.359438163,-0.007666224,0.070574694,-0.515287,-0.212984,0.245646,1016.546753
474738,-0.052229,0.18169,-0.082611,1.337468163,0.03342051,0.074033163,-0.518769,-0.215395,0.245018,1016.546753
474838,-0.108644,0.182268,-0.09154,1.296367449,0.07303449,0.076533265,-0.52372,-0.218708,0.242839,1016.546753
474938,-0.167128,0.172848,-0.096385,1.242391429,0.114805102,0.073384082,-0.524735,-0.219238,0.243813,1016.546753
475038,-0.233462,0.158023,-0.097058,1.186038776,0.138508367,0.058315306,-0.529705,-0.21764,0.243388,1016.546753
475138,-0.292131,0.147034,-0.099583,1.131432449,0.143354694,0.033693163,-0.533185,-0.219056,0.242811,1016.546753
475238,-0.337466,0.131206,-0.096737,1.075419796,0.130551429,-0.004469592,-0.533691,-0.218574,0.243336,1016.546753
475338,-0.371132,0.095966,-0.085555,1.012490918,0.102180918,-0.052753469,-0.536128,-0.219884,0.24026,1016.546753
