time,gx,gy,gz,ax,ay,az,Mag_X,Mag_Y,Mag_Z,p
892828,-0.075113,-0.088998,0.166708,0.833162653,0.041068061,0.029517755,-0.062111,-0.055372,-0.289443,1016.547302
892928,-0.068657,-0.141372,0.185903,0.836478673,0.050849082,0.046329796,-0.059132,-0.055444,-0.288942,1016.547302
893028,-0.0645,-0.184873,0.200986,0.837390408,0.067073673,0.064003469,-0.060147,-0.055974,-0.287968,1016.547302
893128,-0.057827,-0.203398,0.207096,0.832716224,0.077480204,0.075218571,-0.057623,-0.057911,-0.290068,1016.547302
893228,-0.041987,-0.207557,0.203163,0.831563367,0.081660204,0.078451633,-0.054622,-0.056439,-0.29049,1016.547302
893328,-0.036163,-0.193219,0.19963,0.836289388,0.082476939,0.086541939,-0.053558,-0.05975,-0.294667,1016.547302
893428,-0.015429,-0.181961,0.1968,0.845499082,0.085792143,0.099904286,-0.05203,-0.056712,-0.296013,1016.547302
893528,0.005183,-0.157594,0.195124,0.863454694,0.088799082,0.10254898,-0.047471,-0.055594,-0.299959,1016.547302
893628,0.014562,-0.120121,0.194535,0.882517653,0.094341735,0.09868051,-0.04243,-0.053536,-0.302855,1016.547302
893728,0.012582,-0.096148,0.195221,0.887576837,0.100841224,0.097134898,-0.038832,-0.053302,-0.308852,1016.549011
893828,0.023533,-0.0862,0.190744,0.892698265,0.105238061,0.10596,-0.0333,-0.049781,-0.311171,1016.549011
893928,0.046424,-0.058872,0.176405,0.900969592,0.110245714,0.119788776,-0.029684,-0.045039,-0.317439,1016.549011
894028,0.081254,-0.013707,0.157343,0.907641122,0.102794796,0.125479184,-0.026127,-0.041937,-0.320784,1016.549011
894128,0.119823,0.023229,0.139666,0.915035204,0.092790306,0.116207143,-0.022998,-0.036166,-0.327501,1016.549011
894228,0.156272,0.047185,0.126285,0.927262857,0.080541633,0.110286122,-0.017907,-0.031995,-0.332794,1016.549011
894328,0.190169,0.066164,0.1159,0.938311939,0.07453449,0.109618673,-0.009774,-0.029221,-0.341161,1016.549011
894428,0.207879,0.08,0.116049,0.94882898,0.073318571,0.113816429,-0.006177,-0.024527,-0.346429,1016.549011
894528,0.215307,0.082894,0.120365,0.958528061,0.077393265,0.122785408,0.001834,-0.022066,-0.348299,1016.549011
894628,0.199141,0.096141,0.135074,0.978392041,0.080770408,0.135579592,0.01001,-0.016206,-0.358513,1016.549011
894728,0.157393,0.138067,0.152136,1.000101429,0.091122551,0.145354898,0.012607,-0.013489,-0.363883,1016.549011
894828,0.096855,0.195013,0.172833,1.01328102,0.105292857,0.135986939,0.020733,-0.009245,-0.371674,1016.549011
894928,0.013799,0.236402,0.190812,1.022894082,0.123028367,0.113068163,0.024867,-0.003965,-0.378916,1016.549011
895028,-0.076465,0.246533,0.201695,1.028704082,0.147823163,0.098493163,0.030886,-0.000974,-0.380761,1016.549011
895128,-0.161032,0.23739,0.205339,1.048145714,0.168758163,0.096934082,0.034038,0.007336,-0.38835,1016.549011
895228,-0.227973,0.234206,0.206122,1.089781122,0.173128367,0.118101837,0.044089,0.015342,-0.391939,1016.549011
895328,-0.261358,0.26085,0.202125,1.145646224,0.16100102,0.163922959,0.046687,0.023515,-0.39653,1016.549011
895428,-0.246395,0.322032,0.191241,1.21147102,0.129235102,0.232493061,0.052201,0.026988,-0.39785,1016.549011
